id,name,key
1,key_A,A
2,key_B,B
3,key_C,C
4,key_D,D
5,key_E,E
6,key_F,F
7,key_G,G
8,key_H,H
9,key_I,I
10,key_J,J
11,key_K,K
12,key_L,L
13,key_M,M
14,key_N,N
15,key_O,O
16,key_P,P
17,key_Q,Q
18,key_R,R
19,key_S,S
20,key_T,T
21,key_U,U
22,key_V,V
23,key_W,W
24,key_X,X
25,key_Y,Y
26,key_Z,Z
27,key_a,a
28,key_b,b
29,key_c,c
30,key_d,d
31,key_e,e
32,key_f,f
33,key_g,g
34,key_h,h
35,key_i,i
36,key_j,j
37,key_k,k
38,key_l,l
39,key_m,m
40,key_n,n
41,key_o,o
42,key_p,p
43,key_q,q
44,key_r,r
45,key_s,s
46,key_t,t
47,key_u,u
48,key_v,v
49,key_w,w
50,key_x,x
51,key_y,y
52,key_z,z
53,key_1,1
54,key_2,2
55,key_3,3
56,key_4,4
57,key_5,5
58,key_6,6
59,key_7,7
60,key_8,8
61,key_9,9
62,key_10,10
63,key_!,!
64,key_@,@
65,key_#,#
66,key_%,%
67,key_^,^
68,key_&,&
69,key_*,*
70,key_(,(
71,key_),)
72,key__,_
73,key_-,-
74,key_+,+
75,key_=,=
76,key_`,`
77,key_~,~
